"2011.01.18","05:30","GBP","L","Core CPI y/y","2.9%","2.6%","2.7%","","33087"
"2011.02.15","05:30","GBP","H","CPI y/y","4.0%","4.0%","3.7%","","33089"
"2011.02.15","05:30","GBP","L","Core CPI y/y","3.0%","3.0%","2.9%","","33090"
"2011.03.22","05:30","GBP","H","CPI y/y","4.4%","4.2%","4.0%","","33092"
"2011.03.22","05:30","GBP","L","Core CPI y/y","3.4%","3.2%","3.0%","","33093"
"2011.04.12","04:30","GBP","H","CPI y/y","4.0%","4.4%","4.4%","","33095"
"2011.04.12","04:30","GBP","L","Core CPI y/y","3.2%","3.4%","3.4%","","33096"
"2011.05.17","04:30","GBP","H","CPI y/y","4.5%","4.2%","4.0%","","33098"
"2011.05.17","04:30","GBP","L","Core CPI y/y","3.7%","3.4%","3.2%","","33099"
"2011.06.14","04:30","GBP","H","CPI y/y","4.5%","4.5%","4.5%","","33101"
"2011.06.14","04:30","GBP","L","Core CPI y/y","3.3%","3.6%","3.7%","","33102"
"2011.07.12","04:30","GBP","H","CPI y/y","4.2%","4.5%","4.5%","","33104"
"2011.07.12","04:30","GBP","L","Core CPI y/y","2.8%","3.4%","3.3%","","33105"
"2011.08.16","04:30","GBP","H","CPI y/y","4.4%","4.3%","4.2%","","33107"
"2011.08.16","04:30","GBP","L","Core CPI y/y","3.1%","3.1%","2.8%","","33108"
"2011.09.13","04:30","GBP","H","CPI y/y","4.5%","4.5%","4.4%","","33110"
"2011.09.13","04:30","GBP","L","Core CPI y/y","3.1%","3.0%","3.1%","","33111"
"2011.10.18","04:30","GBP","H","CPI y/y","5.2%","4.9%","4.5%","","33113"
"2011.10.18","04:30","GBP","L","Core CPI y/y","3.3%","3.2%","3.1%","","33114"
"2011.11.15","05:30","GBP","H","CPI y/y","5.0%","5.1%","5.2%","","33116"
"2011.11.15","05:30","GBP","L","Core CPI y/y","3.4%","3.3%","3.3%","","33117"
"2011.12.13","05:30","GBP","H","CPI y/y","4.8%","4.8%","5.0%","","33119"
"2011.12.13","05:30","GBP","L","Core CPI y/y","3.2%","3.3%","3.4%","","33120"
"2012.01.17","05:30","GBP","H","CPI y/y","4.2%","4.2%","4.8%","","40216"
"2012.01.17","05:30","GBP","L","Core CPI y/y","3.0%","3.0%","3.2%","","40217"
"2012.02.14","05:30","GBP","H","CPI y/y","3.6%","3.6%","4.2%","","40224"
